name: 🇺🇸US-37.19.198.243-0199 | type: ss | id: 174 | remarks: 🇺🇸US-37.19.198.160-0231 | protocol: ss | ping: 15 MS | avg_speed: 108.328 MB | max_speed: 147.875 MB | Link: ss://YWVzLTEyOC1nY206c2hhZG93c29ja3M=@37.19.198.160:443#%F0%9F%87%BA%F0%9F%87%B8US-37.19.198.160-0231
name: 🇺🇸US-37.19.198.160-0205 | type: ss | id: 177 | remarks: 🇺🇸US-37.19.198.243-0234 | protocol: ss | ping: 15 MS | avg_speed: 104.09 MB | max_speed: 130.076 MB | Link: ss://YWVzLTEyOC1nY206c2hhZG93c29ja3M=@37.19.198.243:443#%F0%9F%87%BA%F0%9F%87%B8US-37.19.198.243-0234
name: 🇺🇸US-64.74.163.130-0201 | type: ss | id: 168 | remarks: 🇺🇸US-156.146.38.167-0225 | protocol: ss | ping: 39 MS | avg_speed: 80.13 MB | max_speed: 87.603 MB | Link: ss://YWVzLTEyOC1nY206c2hhZG93c29ja3M=@156.146.38.167:443#%F0%9F%87%BA%F0%9F%87%B8US-156.146.38.167-0225
name: 🇺🇸US-156.146.38.167-0184 | type: ss | id: 170 | remarks: 🇺🇸US-156.146.38.170-0227 | protocol: ss | ping: 40 MS | avg_speed: 71.317 MB | max_speed: 79.177 MB | Link: ss://YWVzLTEyOC1nY206c2hhZG93c29ja3M=@156.146.38.170:443#%F0%9F%87%BA%F0%9F%87%B8US-156.146.38.170-0227
name: 🇺🇸US-156.146.38.170-0185 | type: ss | id: 169 | remarks: 🇺🇸US-156.146.38.169-0226 | protocol: ss | ping: 41 MS | avg_speed: 67.198 MB | max_speed: 86.823 MB | Link: ss://YWVzLTEyOC1nY206c2hhZG93c29ja3M=@156.146.38.169:443#%F0%9F%87%BA%F0%9F%87%B8US-156.146.38.169-0226
name: 🇺🇸US-156.146.38.168-0186 | type: ss | id: 172 | remarks: 🇺🇸US-156.146.38.168-0229 | protocol: ss | ping: 40 MS | avg_speed: 59.236 MB | max_speed: 84.465 MB | Link: ss://YWVzLTEyOC1nY206c2hhZG93c29ja3M=@156.146.38.168:443#%F0%9F%87%BA%F0%9F%87%B8US-156.146.38.168-0229
name: 🇨🇦CA-134.195.198.147-7050 | type: vmess | id: 229 | remarks: 🇺🇸US-104.192.226.106-0287 | protocol: ss | ping: 77 MS | avg_speed: 57.787 MB | max_speed: 66.893 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpmOGY3YUN6Y1BLYnNGOHAz@104.192.226.106:990#%F0%9F%87%BA%F0%9F%87%B8US-104.192.226.106-0287
name: 🇺🇸US-156.146.38.169-0187 | type: ss | id: 164 | remarks: 🇺🇸US-173.244.56.9-0221 | protocol: ss | ping: 59 MS | avg_speed: 52.913 MB | max_speed: 62.411 MB | Link: ss://YWVzLTEyOC1nY206c2hhZG93c29ja3M=@173.244.56.9:443#%F0%9F%87%BA%F0%9F%87%B8US-173.244.56.9-0221
name: 🇺🇸US-104.192.226.106-0192 | type: ss | id: 2304 | remarks: 🇺🇸US-142.171.194.105-5056 | protocol: vmess | ping: 63 MS | avg_speed: 52.637 MB | max_speed: 58.209 MB | Link: vmess://ewogICAgImFkZCI6ICIxNDIuMTcxLjE5NC4xMDUiLAogICAgImFpZCI6IDAsCiAgICAiaG9zdCI6ICIiLAogICAgImlkIjogIjNlYjhiN2FkLTE5YjYtNGFkOC04ZWFmLWNjYzM1NjRjOGViMyIsCiAgICAibmV0IjogIndzIiwKICAgICJwYXRoIjogIi9zYmIiLAogICAgInBvcnQiOiA2NjY2LAogICAgInBzIjogIvCfh7rwn4e4VVMtMTQyLjE3MS4xOTQuMTA1LTUwNTYiLAogICAgInRscyI6ICIiLAogICAgInR5cGUiOiAiYXV0byIsCiAgICAic2VjdXJpdHkiOiAiYXV0byIsCiAgICAic2tpcC1jZXJ0LXZlcmlmeSI6IHRydWUsCiAgICAic25pIjogIiIKfQ==
name: 🇨🇦CA-23.162.200.227-7047 | type: vmess | id: 180 | remarks: 🇺🇸US-104.192.226.106-0237 | protocol: ss | ping: 63 MS | avg_speed: 52.493 MB | max_speed: 62.904 MB | Link: ss://YWVzLTI1Ni1jZmI6ZjhmN2FDemNQS2JzRjhwMw==@104.192.226.106:989#%F0%9F%87%BA%F0%9F%87%B8US-104.192.226.106-0237
name: 🇺🇸US-104.192.226.106-0204 | type: ss | id: 173 | remarks: 🇺🇸US-64.74.163.130-0230 | protocol: ss | ping: 23 MS | avg_speed: 49.423 MB | max_speed: 51.46 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpmOGY3YUN6Y1BLYnNGOHAz@64.74.163.130:990#%F0%9F%87%BA%F0%9F%87%B8US-64.74.163.130-0230
